"Category","States/UTs","Total/Sector","2007-08 - Hydel","2007-08 - Thermal","2007-08 - Total","2008-09 - Hydel","2008-09 - Thermal","2008-09 - Total","2009-10 - Hydel","2009-10 - Thermal","2009-10 - Total","2010-11 - Hydel","2010-11 - Thermal","2010-11 - Total","2011-12 - Hydel","2011-12 - Thermal","2011-12 - Total","Total (2007-12) - Hydel","Total (2007-12) - Thermal","Total (2007-12) - Total"
"I.States","Andhra Pradesh","Total","39.00 ","210.00 ","249.00 ","39.00 ","0.00 ","39.00 ","39.00 ","1477.00 ","1516.00 ","78.00 ","1008.00 ","1086.00 ","39.00 ","650.00 ","689.00 ","234.00 ","3345.00 ","3579.00 "
"I.States","Andhra Pradesh","State Sector","39.00 ","210.00 ","249.00 ","39.0","0.0","39.0","39.0","500.0","539.0","78.0","710.0","788.0","39.0","500.0","539.0","234.0","1920.00 ","2154.00 "
"I.States","Andhra Pradesh","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","977.0","977.0","0.0","298.0","298.0","0.0","150.0","150.0","0.0","1425.00 ","1425.00 "
"I.States","Assam","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37.2","37.2","0.0","37.20 ","37.20 "
"I.States","Assam","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37.2","37.2","0.0","37.20 ","37.20 "
"I.States","Assam","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Bihar","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Bihar","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Bihar","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Chattisgarh","Total","0.00 ","1000.00 ","1000.00 ","0.0","250.0","250.0","0.0","600.0","600.0","0.0","0.0","0.0","0.0","233.0","233.0","0.0","2083.00 ","2083.00 "
"I.States","Chattisgarh","State Sector","0.00 ","250.00 ","250.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","250.00 ","250.00 "
"I.States","Chattisgarh","Private Sector","0.00 ","750.00 ","750.00 ","0.0","250.0","250.0","0.0","600.0","600.0","0.0","0.0","0.0","0.0","233.0","233.0","0.0","1833.00 ","1833.00 "
"I.States","Delhi","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","571.5","571.5","0.0","286.5","286.5","0.0","858.00 ","858.00 "
"I.States","Delhi","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","500.0","500.0","0.0","250.0","250.0","0.0","750.00 ","750.00 "
"I.States","Delhi","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","71.5","71.5","0.0","36.5","36.5","0.0","108.00 ","108.00 "
"I.States","Gujarat","Total","0.00 ","40.00 ","40.00 ","0.0","382.5","382.5","0.0","1874.0","1874.0","0.0","1570.0","1570.0","0.0","4391.0","4391.0","0.0","8257.50 ","8257.50 "
"I.States","Gujarat","State Sector","0.00 ","40.00 ","40.00 ","0.0","0.0","0.0","0.0","449.0","449.0","0.0","250.0","250.0","0.0","351.0","351.0","0.0","1090.00 ","1090.00 "
"I.States","Gujarat","Private Sector","0.00 ","0.00 ","0.00 ","0.0","382.5","382.5","0.0","1425.0","1425.0","0.0","1320.0","1320.0","0.0","4040.0","4040.0","0.0","7167.50 ","7167.50 "
"I.States","Haryana","Total","0.00 ","600.00 ","600.00 ","0.0","0.0","0.0","0.0","600.0","600.0","0.0","600.0","600.0","0.0","660.0","660.0","0.0","660.00 ","660.00 "
"I.States","Haryana","State Sector","0.00 ","600.00 ","600.00 ","0.0","0.0","0.0","0.0","600.0","600.0","0.0","600.0","600.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Haryana","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","660.0","660.0","0.0","660.00 ","660.00 "
"I.States","Himachal Pradesh","Total","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","192.0","0.0","192.0","1100.0","0.0","1100.0","1292.0","0.00 ","1292.00 "
"I.States","Himachal Pradesh","State Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
"I.States","Himachal Pradesh","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","192.0","0.0","192.0","1100.0","0.0","1100.0","1292.0","0.00 ","1292.00 "
"I.States","Jammu and Kashmir","Total","0.00 ","0.00 ","0.00 ","450.0","0.0","450.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","450.0","0.00 ","450.00 "
"I.States","Jammu and Kashmir","State Sector","0.00 ","0.00 ","0.00 ","450.0","0.0","450.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","450.0","0.00 ","450.00 "
"I.States","Jammu and Kashmir","Private Sector","0.00 ","0.00 ","0.00 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00 ","0.00 "
