ROW,REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED_CAPACITY,PROGRAM_GENERATION,ACTUAL_GENERATION
1,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,HBPCL,BASPA  HPS,300,31,25.06
2,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,BASSI  HPS,66,18,17.09
3,REG1,17-Mar,NORTHERN,UTTAR PRADESH,STATE,HYDRO,HYDRO,UPJVNL,RIHAND  HPS,300,40,33.61
4,REG4,17-Mar,EASTERN,ORISSA,CENTRAL,THERMAL,COAL,NTPC Ltd.,TALCHER STPS,3000,1993,2034.48
5,REG1,17-Mar,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,TANDA TPS,440,276,288.9
6,REG4,17-Mar,EASTERN,JHARKHAND,STATE,THERMAL,COAL,TVNL,TENUGHAT TPS,420,243,126.03
7,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,KHODRI  HPS,120,31,15.47
8,REG5,17-Mar,NORTH EASTERN,ASSAM,STATE,THERMAL,NATURAL GAS,APGPCL,LAKWA GT,142.2,73,75.28
9,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,COAL,GMDCL,AKRIMOTA LIG TPS,250,138,140.47
10,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,LOWER METTUR  HPS.,120,2,0
11,REG2,17-Mar,WESTERN,MAHARASHTRA,PVT,HYDRO,HYDRO,TATA MAH.,BHIRA   HPS,150,67,22.36
12,REG2,17-Mar,WESTERN,GUJARAT,STATE,THERMAL,COAL,GSECL,WANAKBORI TPS,1470,554,550.43
13,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,GANDHI SAGAR  HPS,115,25,59.74
14,REG1,17-Mar,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,GND TPS(BHATINDA),440,55,0
15,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,NATURAL GAS,APEPDCL,JEGURUPADU PHASE I CCPP,235.4,0,86
16,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,HYDRO,HYDRO,WBSEDCL,PURULIA PSS  HPS.,900,109,88.16
17,REG5,17-Mar,NORTH EASTERN,ASSAM,STATE,THERMAL,NATURAL GAS,APGPCL,NAMRUP CCPP,181.25,53,31.95
18,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,NASIK TPS,630,344,257.45
19,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,JPL,OP JINDAL TPS,1000,398,451.36
20,REG2,17-Mar,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,GPE CORP,PEGUTHAN CCPP,655,25,9.9
21,REG4,17-Mar,EASTERN,BIHAR,STATE,THERMAL,COAL,BSEB,BARAUNI TPS,210,77,19.93
22,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,RAMGANGA  HPS,198,49,25.78
23,REG5,17-Mar,NORTH EASTERN,TRIPURA,CENTRAL,THERMAL,NATURAL GAS,ONGC,TRIPURA CCPP,726.6,340,415.6
24,REG2,17-Mar,WESTERN,MADHYA PRADESH,PVT,THERMAL,COAL,ESSARPMPL,MAHAN TPP,600,0,292.76
25,REG1,17-Mar,NORTHERN,PUNJAB,PVT,THERMAL,COAL,GPGSL (GVK),GOINDWAL SAHIB TPP,540,119,0
26,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,DBPCL,BARADARHA TPS,1200,297,655.15
27,REG3,17-Mar,SOUTHERN,TAMIL NADU,PVT,THERMAL,COAL,IBPIL,TUTICORIN (P) TPP,300,64,0
